AddrLib,V2000
Name, Address ,Address type(0-1),Data type(0-8),Description
W15001_1,3x_Bit0.0,0,0,
W15001_2,3x_Bit0.1,0,0,
W15001_3,3x_Bit0.2,0,0,W15001_3
W15001_4,3x_Bit0.3,0,0,W15001_4
W15001_5,3x_Bit0.4,0,0,W15001_5
W15001_6,3x_Bit0.5,0,0,
W15001_7,3x_Bit0.6,0,0,
W15001_8,3x_Bit0.7,0,0,
W15001_9,3x_Bit0.8,0,0,
W15001_10,3x_Bit0.9,0,0,
W15001_11,3x_Bit0.10,0,0,
W15001_12,3x_Bit0.11,0,0,
L15003_WRK,3x_Bit0.12,0,0,
L15005_WRK,3x_Bit0.13,0,0,L15005_WRK
L16001_WRK,3x_Bit0.14,0,0,L16001_WRK
L16001_RPM,3x_Bit0.15,0,0,L16001_RPM
L16002_WRK,3x_Bit1.0,0,0,L16002_WRK
L16002_A_POS_1,3x_Bit1.1,0,0,L16002_A_POS_1
L16002_A_POS_2,3x_Bit1.2,0,0,L16002_A_POS_2
L16002_B_POS_1,3x_Bit1.3,0,0,L16002_B_POS_1
L16002_B_POS_2,3x_Bit1.4,0,0,L16002_B_POS_2
L16002_C_POS_1,3x_Bit1.5,0,0,L16002_C_POS_1
L16002_C_POS_2,3x_Bit1.6,0,0,L16002_C_POS_2
W16001_WRK,3x_Bit1.7,0,0,W16001_WRK
W16002_WRK,3x_Bit1.8,0,0,W16002_WRK
W16003_WRK,3x_Bit1.9,0,0,W16003_WRK
W16004_WRK,3x_Bit1.10,0,0,W16004_WRK
L16003_REM,3x_Bit1.11,0,0,L16003_REM
L16003_WRK,3x_Bit1.12,0,0,L16003_WRK
L16003_SRT,4x_Bit1.13,0,0,L16003_SRT
X16011_REM,3x_Bit1.14,0,0,X16011_REM
X16011_WRK,3x_Bit1.15,0,0,X16011_WRK
X16011_SRT,4x_Bit2.0,0,0,X16011_SRT
L16106_REM,3x_Bit2.1,0,0,L16106_REM
L16106_WRK,3x_Bit2.2,0,0,L16106_WRK
L16106_SRT,4x_Bit2.3,0,0,L16106_SRT
L16106_RPM,3x_Bit2.4,0,0,L16106_RPM
L16004_REM,3x_Bit2.5,0,0,L16004_REM
L16004_WRK,3x_Bit2.6,0,0,L16004_WRK
L16004_SRT,4x_Bit2.7,0,0,L16004_SRT
